Name,Rating,NumberofReviews,GroupCategory,Address,Lat/Long,PriceTransfrom,lat,long
jets-pizza-dublin,5,7,American,"{'address1': '3864 Hard Rd', 'address2': None, 'address3': '', 'city': 'Dublin', 'zip_code': '43016', 'country': 'US', 'state': 'OH', 'display_address': ['3864 Hard Rd', 'Dublin, OH 43016']}","{'latitude': 40.1191714932714, 'longitude': -83.0927753448486}",2,40.11917149,-83.09277534
j-and-rs-pizza-canal-winchester,3.5,10,American,"{'address1': '17 E Columbus St', 'address2': '', 'address3': '', 'city': 'Canal Winchester', 'zip_code': '43110', 'country': 'US', 'state': 'OH', 'display_address': ['17 E Columbus St', 'Canal Winchester, OH 43110']}","{'latitude': 39.8408432006836, 'longitude': -82.8052291870117}",1,39.8408432,-82.80522919
tarantos-pizza-barn-pickerington,3,32,American,"{'address1': '601 Hill Rd N', 'address2': '', 'address3': '', 'city': 'Pickerington', 'zip_code': '43147', 'country': 'US', 'state': 'OH', 'display_address': ['601 Hill Rd N', 'Pickerington, OH 43147']}","{'latitude': 39.8973, 'longitude': -82.76519}",2,39.8973,-82.76519
sansottas-fresh-italian-sunbury,2,1,European,"{'address1': '137 St Rt 3', 'address2': None, 'address3': '', 'city': 'Sunbury', 'zip_code': '43074', 'country': 'US', 'state': 'OH', 'display_address': ['137 St Rt 3', 'Sunbury, OH 43074']}","{'latitude': 40.24572, 'longitude': -82.86908}",0,40.24572,-82.86908
pizzeria-new-york-pickerington-2,3.5,33,American,"{'address1': '833 Hill Rd N', 'address2': '', 'address3': '', 'city': 'Pickerington', 'zip_code': '43147', 'country': 'US', 'state': 'OH', 'display_address': ['833 Hill Rd N', 'Pickerington, OH 43147']}","{'latitude': 39.90353, 'longitude': -82.77286}",1,39.90353,-82.77286
fazolis-reynoldsburg,3.5,9,European,"{'address1': '6830 E Main St', 'address2': '', 'address3': '', 'city': 'Reynoldsburg', 'zip_code': '43068', 'country': 'US', 'state': 'OH', 'display_address': ['6830 E Main St', 'Reynoldsburg, OH 43068']}","{'latitude': 39.95546, 'longitude': -82.81472}",1,39.95546,-82.81472
fazolis-grove-city,3.5,7,European,"{'address1': '2096 Stringtown Rd', 'address2': '', 'address3': '', 'city': 'Grove City', 'zip_code': '43123', 'country': 'US', 'state': 'OH', 'display_address': ['2096 Stringtown Rd', 'Grove City, OH 43123']}","{'latitude': 39.87907, 'longitude': -83.05835}",1,39.87907,-83.05835
masseys-pizza-gahanna,2.5,17,American,"{'address1': '261 Lincoln Cir', 'address2': '', 'address3': '', 'city': 'Gahanna', 'zip_code': '43230', 'country': 'US', 'state': 'OH', 'display_address': ['261 Lincoln Cir', 'Gahanna, OH 43230']}","{'latitude': 40.0177485, 'longitude': -82.8729873}",1,40.0177485,-82.8729873
masseys-pizza-canal-winchester-3,3,24,American,"{'address1': '6394 Gender Rd', 'address2': '', 'address3': '', 'city': 'Canal Winchester', 'zip_code': '43110', 'country': 'US', 'state': 'OH', 'display_address': ['6394 Gender Rd', 'Canal Winchester, OH 43110']}","{'latitude': 39.8511946946383, 'longitude': -82.8285214304924}",2,39.85119469,-82.82852143
long-branch-pizza-centerburg,4.5,8,American,"{'address1': '7 W Main St', 'address2': '', 'address3': '', 'city': 'Centerburg', 'zip_code': '43011', 'country': 'US', 'state': 'OH', 'display_address': ['7 W Main St', 'Centerburg, OH 43011']}","{'latitude': 40.3041808, 'longitude': -82.6962306}",2,40.3041808,-82.6962306
rome-116-lancaster,3.5,22,American,"{'address1': '1348 Ety Rd NW', 'address2': '', 'address3': None, 'city': 'Lancaster', 'zip_code': '43130', 'country': 'US', 'state': 'OH', 'display_address': ['1348 Ety Rd NW', 'Lancaster, OH 43130']}","{'latitude': 39.738648, 'longitude': -82.638313}",2,39.738648,-82.638313
romeos-pizza-westerville,3.5,16,American,"{'address1': '5733 Maxtown Rd', 'address2': '', 'address3': '', 'city': 'Westerville', 'zip_code': '43082', 'country': 'US', 'state': 'OH', 'display_address': ['5733 Maxtown Rd', 'Westerville, OH 43082']}","{'latitude': 40.1467925, 'longitude': -82.9225666}",2,40.1467925,-82.9225666
sbarro-the-italian-eatery-dublin,1,1,European,"{'address1': 'The Mall At Tuttle C', 'address2': '', 'address3': '', 'city': 'Dublin', 'zip_code': '43016', 'country': 'US', 'state': 'OH', 'display_address': ['The Mall At Tuttle C', 'Dublin, OH 43016']}","{'latitude': 40.0786705, 'longitude': -83.1137695}",0,40.0786705,-83.1137695
masseys-pizza-pataskala,2.5,10,American,"{'address1': '440 E Broad St', 'address2': None, 'address3': None, 'city': 'Pataskala', 'zip_code': '43062', 'country': 'US', 'state': 'OH', 'display_address': ['440 E Broad St', 'Pataskala, OH 43062']}","{'latitude': 40.0041553, 'longitude': -82.6687318}",2,40.0041553,-82.6687318
arlington-pizza-pasta-steak-baltimore-2,4,8,American,"{'address1': '949 S Main St', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '43105', 'country': 'US', 'state': 'OH', 'display_address': ['949 S Main St', 'Baltimore, OH 43105']}","{'latitude': 39.8372535, 'longitude': -82.6049991}",1,39.8372535,-82.6049991
olive-garden-italian-restaurant-lancaster-4,3.5,15,American,"{'address1': '2093 Schorrway Dr', 'address2': '', 'address3': '', 'city': 'Lancaster', 'zip_code': '43130', 'country': 'US', 'state': 'OH', 'display_address': ['2093 Schorrway Dr', 'Lancaster, OH 43130']}","{'latitude': 39.7347640991211, 'longitude': -82.6255035400391}",2,39.7347641,-82.62550354
