Name,Rating,Number of Reviews,Category,Address,Lat/Long,Price,lat,long
nidas-thai-on-high-columbus,3.5,263,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '976 N High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43201', 'country': 'US', 'state': 'OH', 'display_address': ['976 N High St', 'Columbus, OH 43201']}","{'latitude': 39.98224, 'longitude': -83.00437}",$$,39.98224,-83.00437
lucky-bamboo-columbus-2,4.5,58,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'thai', 'title': 'Thai'}]","{'address1': '4400 Karl Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43224', 'country': 'US', 'state': 'OH', 'display_address': ['4400 Karl Rd', 'Columbus, OH 43224']}","{'latitude': 40.0566444396973, 'longitude': -82.9755249023438}",$,40.05664444,-82.9755249
tais-asian-bistro-columbus,4,244,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]","{'address1': '1285 W Lane Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43221', 'country': 'US', 'state': 'OH', 'display_address': ['1285 W Lane Ave', 'Columbus, OH 43221']}","{'latitude': 40.0068322, 'longitude': -83.0445495}",$,40.0068322,-83.0445495
sun-tong-luck-asian-cuisine-columbus,4,134,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '2500 Bethel Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43220', 'country': 'US', 'state': 'OH', 'display_address': ['2500 Bethel Rd', 'Columbus, OH 43220']}","{'latitude': 40.065657683811, 'longitude': -83.0869704829422}",$,40.06565768,-83.08697048
lily-teriyaki-columbus,3.5,45,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'japanese', 'title': 'Japanese'}]","{'address1': '1385 Georgesville Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43228', 'country': 'US', 'state': 'OH', 'display_address': ['1385 Georgesville Rd', 'Columbus, OH 43228']}","{'latitude': 39.9251626783078, 'longitude': -83.1193243482712}",$,39.92516268,-83.11932435
peking-dynasty-express-columbus-2,4,57,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]","{'address1': '2210 E Livingston Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43209', 'country': 'US', 'state': 'OH', 'display_address': ['2210 E Livingston Ave', 'Columbus, OH 43209']}","{'latitude': 39.94839, 'longitude': -82.93837}",$$,39.94839,-82.93837
wings-restaurant-columbus-2,3.5,43,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '2801 E Main St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43209', 'country': 'US', 'state': 'OH', 'display_address': ['2801 E Main St', 'Columbus, OH 43209']}","{'latitude': 39.9565, 'longitude': -82.92371}",$$,39.9565,-82.92371
oodles-noodle-and-dumpling-bar-columbus,3.5,35,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'address1': '443 E Main St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['443 E Main St', 'Columbus, OH 43215']}","{'latitude': 39.95712, 'longitude': -82.9876}",$,39.95712,-82.9876
billy-lees-chinese-cuisine-columbus,4,26,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'address1': '2974 E Broad St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43209', 'country': 'US', 'state': 'OH', 'display_address': ['2974 E Broad St', 'Columbus, OH 43209']}","{'latitude': 39.97145, 'longitude': -82.92164}",$$,39.97145,-82.92164
yin-yue-restaurant-columbus,4,24,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '1236 E Hudson St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43211', 'country': 'US', 'state': 'OH', 'display_address': ['1236 E Hudson St', 'Columbus, OH 43211']}","{'latitude': 40.0142499, 'longitude': -82.97702}",$,40.0142499,-82.97702
helen-asian-kitchen-columbus-2,3.5,167,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '1070 E Dublin Granville Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43229', 'country': 'US', 'state': 'OH', 'display_address': ['1070 E Dublin Granville Rd', 'Columbus, OH 43229']}","{'latitude': 40.0886023631923, 'longitude': -82.9891861822784}",$$,40.08860236,-82.98918618
dragon-land-columbus-2,4,67,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '1093 Worthington Woods Blvd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43085', 'country': 'US', 'state': 'OH', 'display_address': ['1093 Worthington Woods Blvd', 'Columbus, OH 43085']}","{'latitude': 40.11782, 'longitude': -82.98785}",$,40.11782,-82.98785
hunan-house-chinese-restaurant-columbus,4,75,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '2350 E Dublin Granville Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43229', 'country': 'US', 'state': 'OH', 'display_address': ['2350 E Dublin Granville Rd', 'Columbus, OH 43229']}","{'latitude': 40.0868263244629, 'longitude': -82.9556655883789}",$$,40.08682632,-82.95566559
hong-kong-express-columbus,4.5,4,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '5230 Bethel Center Mall', 'address2': None, 'address3': '', 'city': 'Columbus', 'zip_code': '43220', 'country': 'US', 'state': 'OH', 'display_address': ['5230 Bethel Center Mall', 'Columbus, OH 43220']}","{'latitude': 40.0648517, 'longitude': -83.0570575}",No recorded price,40.0648517,-83.0570575
hunan-lion-columbus,4,108,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '2038 Crown Plz', 'address2': None, 'address3': None, 'city': 'Columbus', 'zip_code': '43220', 'country': 'US', 'state': 'OH', 'display_address': ['2038 Crown Plz', 'Columbus, OH 43220']}","{'latitude': 40.0653778, 'longitude': -83.0714151}",$$,40.0653778,-83.0714151
asian-wok-columbus-2,4,18,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '3482 Sullivant Ave', 'address2': None, 'address3': '', 'city': 'Columbus', 'zip_code': '43204', 'country': 'US', 'state': 'OH', 'display_address': ['3482 Sullivant Ave', 'Columbus, OH 43204']}","{'latitude': 39.94317, 'longitude': -83.09184}",$,39.94317,-83.09184
japanese-oriental-restaurant-columbus,3.5,91,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '2283 N High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43201', 'country': 'US', 'state': 'OH', 'display_address': ['2283 N High St', 'Columbus, OH 43201']}","{'latitude': 40.00884, 'longitude': -83.01005}",$$,40.00884,-83.01005
eastern-wok-columbus,4,23,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '3877 S High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43207', 'country': 'US', 'state': 'OH', 'display_address': ['3877 S High St', 'Columbus, OH 43207']}","{'latitude': 39.8832727970636, 'longitude': -83.003488835652}",$,39.8832728,-83.00348884
molly-woos-asian-bistro-columbus,3.5,130,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'address1': '1500 Polaris Pkwy', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43240', 'country': 'US', 'state': 'OH', 'display_address': ['1500 Polaris Pkwy', 'Columbus, OH 43240']}","{'latitude': 40.14575, 'longitude': -82.98036}",$$,40.14575,-82.98036
bds-mongolian-grill-columbus-2,3,79,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'mongolian', 'title': 'Mongolian'}]","{'address1': '3977 Worth Ave', 'address2': None, 'address3': None, 'city': 'Columbus', 'zip_code': '43219', 'country': 'US', 'state': 'OH', 'display_address': ['3977 Worth Ave', 'Columbus, OH 43219']}","{'latitude': 40.05431, 'longitude': -82.91624}",$$,40.05431,-82.91624
fortune-city-chinese-restaurant-columbus,4,9,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '3649 Karl Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43224', 'country': 'US', 'state': 'OH', 'display_address': ['3649 Karl Rd', 'Columbus, OH 43224']}","{'latitude': 40.0411419721638, 'longitude': -82.9778729636338}",$,40.04114197,-82.97787296
new-fortune-china-columbus,4,13,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '4860 W Broad St', 'address2': None, 'address3': None, 'city': 'Columbus', 'zip_code': '43228', 'country': 'US', 'state': 'OH', 'display_address': ['4860 W Broad St', 'Columbus, OH 43228']}","{'latitude': 39.95338, 'longitude': -83.13069}",$,39.95338,-83.13069
fortune-chinese-restaurant-columbus-2,3.5,43,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '3635 W Dublin Granville Rd', 'address2': '', 'address3': None, 'city': 'Columbus', 'zip_code': '43235', 'country': 'US', 'state': 'OH', 'display_address': ['3635 W Dublin Granville Rd', 'Columbus, OH 43235']}","{'latitude': 40.0939693068193, 'longitude': -83.0874699354172}",$$,40.09396931,-83.08746994
szechuan-cottage-columbus,3.5,24,"[{'alias': 'szechuan', 'title': 'Szechuan'}]","{'address1': '2628 N High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43202', 'country': 'US', 'state': 'OH', 'display_address': ['2628 N High St', 'Columbus, OH 43202']}","{'latitude': 40.01588, 'longitude': -83.01156}",$,40.01588,-83.01156
double-happiness-columbus,3.5,48,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '482 S Front St', 'address2': None, 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['482 S Front St', 'Columbus, OH 43215']}","{'latitude': 39.952296, 'longitude': -83.0005087}",$,39.952296,-83.0005087
china-dynasty-chinese-restaurant-columbus-2,3.5,33,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '1930 E Dublin Granville Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43229', 'country': 'US', 'state': 'OH', 'display_address': ['1930 E Dublin Granville Rd', 'Columbus, OH 43229']}","{'latitude': 40.08754, 'longitude': -82.96611}",$$,40.08754,-82.96611
joys-village-columbus,3.5,58,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '2060 N High St', 'address2': None, 'address3': '', 'city': 'Columbus', 'zip_code': '43201', 'country': 'US', 'state': 'OH', 'display_address': ['2060 N High St', 'Columbus, OH 43201']}","{'latitude': 40.0044528, 'longitude': -83.0085199}",$,40.0044528,-83.0085199
